"Open","High","Low","Close","Volume","Adjusted","date"
4.78,4.8,4.74,4.79,50850000,4.05602,"2013-05-22"
4.77,4.79,4.71,4.73,54419900,4.00521,"2013-05-23"
4.75,4.77,4.72,4.75,46997300,4.02215,"2013-05-24"
4.73,4.76,4.71,4.72,47012000,3.99674,"2013-05-27"
4.72,4.8,4.7,4.8,63175400,4.06448,"2013-05-28"
4.8,4.82,4.75,4.76,63484000,4.03061,"2013-05-29"
4.76,4.78,4.73,4.74,54870200,4.01368,"2013-05-30"
4.75,4.76,4.71,4.71,44121700,3.98828,"2013-05-31"
4.71,4.74,4.71,4.72,40972300,3.99674,"2013-06-03"
4.72,4.72,4.68,4.69,51176500,3.97134,"2013-06-04"
4.7,4.71,4.66,4.67,41254200,3.95441,"2013-06-05"
4.67,4.68,4.61,4.62,42585800,3.91207,"2013-06-06"
4.63,4.65,4.58,4.59,50292300,3.88666,"2013-06-07"
4.59,4.59,4.59,4.59,0,3.88666,"2013-06-10"
4.59,4.59,4.59,4.59,0,3.88666,"2013-06-11"
4.59,4.59,4.59,4.59,0,3.88666,"2013-06-12"
4.56,4.56,4.42,4.51,103918600,3.81892,"2013-06-13"
4.5,4.52,4.46,4.48,66955700,3.79352,"2013-06-14"
4.51,4.53,4.46,4.47,42538800,3.78505,"2013-06-17"
4.5,4.51,4.43,4.46,64550600,3.77658,"2013-06-18"
4.45,4.45,4.38,4.42,45965700,3.74271,"2013-06-19"
4.4,4.42,4.29,4.29,70553700,3.63263,"2013-06-20"
4.26,4.3,4.23,4.24,67055600,3.59029,"2013-06-21"
4.25,4.25,4.02,4.03,154616900,3.41247,"2013-06-24"
4.01,4.09,3.88,4.06,162959000,3.43788,"2013-06-25"
4.07,4.08,3.96,3.99,114501600,3.3786,"2013-06-26"
4.01,4.07,3.98,4,122022500,3.38707,"2013-06-27"
4.01,4.11,3.99,4.07,121707200,3.44634,"2013-06-28"
4.06,4.08,4.01,4.05,100444500,3.42941,"2013-07-01"
4.05,4.06,4.01,4.03,63784500,3.41247,"2013-07-02"
4.03,4.03,3.97,4,57169500,3.38707,"2013-07-03"
4,4.08,3.99,4.07,86875500,3.44634,"2013-07-04"
4.07,4.11,4.06,4.07,50345600,3.44634,"2013-07-05"
4.05,4.06,4.01,4.03,56358700,3.41247,"2013-07-08"
4.03,4.06,4.02,4.06,45891500,3.43788,"2013-07-09"
4.06,4.1,4.05,4.09,78530900,3.46328,"2013-07-10"
3.88,4.11,3.87,4.03,170979200,3.6252,"2013-07-11"
4.02,4.04,3.92,3.92,100184400,3.52625,"2013-07-12"
3.96,4.06,3.94,3.99,84409400,3.58922,"2013-07-15"
3.98,3.99,3.93,3.99,55055300,3.58922,"2013-07-16"
3.98,4.01,3.94,3.95,59084900,3.55324,"2013-07-17"
3.96,3.97,3.89,3.91,55373100,3.51725,"2013-07-18"
3.92,3.92,3.83,3.84,79325700,3.45428,"2013-07-19"
3.81,3.81,3.77,3.79,80978100,3.40931,"2013-07-22"
3.81,3.9,3.79,3.85,90339500,3.46328,"2013-07-23"
3.83,3.84,3.76,3.79,81327900,3.40931,"2013-07-24"
3.8,3.82,3.77,3.79,59363300,3.40931,"2013-07-25"
3.77,3.79,3.75,3.76,45712300,3.38232,"2013-07-26"
3.74,3.74,3.68,3.69,69150400,3.31935,"2013-07-29"
3.7,3.79,3.69,3.74,61979500,3.36433,"2013-07-30"
3.76,3.79,3.74,3.76,51705100,3.38232,"2013-07-31"
3.77,3.85,3.76,3.83,56254100,3.44529,"2013-08-01"
3.85,3.87,3.81,3.82,37705400,3.43629,"2013-08-02"
3.83,3.85,3.81,3.85,37269200,3.46328,"2013-08-05"
3.83,3.87,3.81,3.84,38372600,3.45428,"2013-08-06"
3.84,3.88,3.83,3.84,50901600,3.45428,"2013-08-07"
3.85,3.88,3.83,3.85,46444800,3.46328,"2013-08-08"
3.87,3.89,3.81,3.85,53078800,3.46328,"2013-08-09"
3.87,3.95,3.85,3.95,81568700,3.55324,"2013-08-12"
3.94,3.97,3.91,3.96,56607200,3.56223,"2013-08-13"
3.96,4,3.93,3.94,61134100,3.54424,"2013-08-14"
3.94,3.97,3.9,3.92,46886300,3.52625,"2013-08-15"
3.9,4.31,3.88,3.93,191556500,3.53524,"2013-08-16"
3.91,3.98,3.9,3.97,71839300,3.57123,"2013-08-19"
3.97,4.03,3.94,3.96,81614000,3.56223,"2013-08-20"
3.98,3.98,3.91,3.93,52416200,3.53524,"2013-08-21"
3.92,3.96,3.89,3.9,60066400,3.50826,"2013-08-22"
3.91,3.93,3.81,3.86,66324300,3.47228,"2013-08-23"
3.87,3.93,3.85,3.91,72175500,3.51725,"2013-08-26"
3.92,3.93,3.88,3.92,64712100,3.52625,"2013-08-27"
3.9,3.96,3.85,3.93,85445600,3.53524,"2013-08-28"
3.95,3.97,3.9,3.92,53405400,3.52625,"2013-08-29"
3.92,3.96,3.89,3.94,69242800,3.54424,"2013-08-30"
3.95,3.96,3.92,3.94,60751500,3.54424,"2013-09-02"
3.95,4,3.94,4,81336600,3.59821,"2013-09-03"
3.99,4.02,3.98,4,57580000,3.59821,"2013-09-04"
4,4,3.97,3.98,32696500,3.58022,"2013-09-05"
3.97,4.14,3.97,4.1,170336100,3.68817,"2013-09-06"
4.17,4.51,4.17,4.51,476720700,4.05699,"2013-09-09"
4.55,4.6,4.4,4.53,339822700,4.07498,"2013-09-10"
4.52,4.61,4.48,4.49,225854500,4.03899,"2013-09-11"
4.46,4.77,4.44,4.66,414188300,4.19192,"2013-09-12"
4.61,4.88,4.6,4.68,313158700,4.20991,"2013-09-13"
4.73,4.76,4.54,4.57,203134300,4.11096,"2013-09-16"
4.56,4.63,4.4,4.41,156734600,3.96703,"2013-09-17"
4.41,4.45,4.35,4.43,109374600,3.98502,"2013-09-18"
4.43,4.43,4.43,4.43,0,3.98502,"2013-09-20"
4.45,4.46,4.38,4.45,89742700,4.00301,"2013-09-23"
4.43,4.44,4.26,4.3,147878700,3.86808,"2013-09-24"
4.28,4.4,4.27,4.29,86776300,3.85908,"2013-09-25"
4.28,4.29,4.16,4.18,99898800,3.76013,"2013-09-26"
4.18,4.23,4.18,4.22,49272700,3.79611,"2013-09-27"
4.29,4.33,4.25,4.3,65572600,3.86808,"2013-09-30"
4.3,4.3,4.3,4.3,0,3.86808,"2013-10-01"
4.3,4.3,4.3,4.3,0,3.86808,"2013-10-02"
